Elements,Import Time Ratio,Random Read Time Ratio,Random Deletion Time Ratio
20,0,-nan,-nan,
40,inf,inf,inf,
80,inf,1,inf,
160,1,1.5,inf,
320,0.333333,2.66667,inf,
640,0.5,3.33333,inf,
1280,0.357143,3.23077,inf,
2560,0.344828,2.72414,inf,
5120,0.328125,2.375,inf,
10240,0.374101,2.45714,inf,
20480,0.460784,2.69805,inf,
40960,0.63244,3.48336,inf,
81920,1.00405,5.37779,7485,
163840,1.66698,8.78123,13992,
327680,2.95451,15.3232,26862.8,
655360,4.87876,20.7783,41387.5,
1000000,3.49398,21.487,35133.6,
1000000,3.82465,21.5684,36092.1,
1000000,3.78068,21.7269,36453.7,
1000000,3.6602,21.5079,36710.7,
